A3	K16~IO_25_15	K16
B3	J18~IO_L23N_T3_FWE_B_15	J18
A4	K15~IO_L24P_T3_RS1_15	K15
B4	J17~IO_L23P_T3_FOE_B_15	J17
A5	J15~IO_L24N_T3_RS0_15	J15
B5	K13~IO_L17P_T2_A26_15	K13
A6	H15~IO_L19N_T3_A21_VREF_15	H15
B6	J13~IO_L17N_T2_A25_15	J13
A7	J14~IO_L19P_T3_A22_15	J14
B7	H14~IO_L15P_T2_DQS_15	H14
A8	H17~IO_L18P_T2_A24_15	H17
B8	G14~IO_L15N_T2_DQS_ADV_B_15	G14
A9	G17~IO_L18N_T2_A23_15	G17
B9	G16~IO_L13N_T2_MRCC_15	G16
A10	G18~IO_L22P_T3_A17_15	G18
B10	H16~IO_L13P_T2_MRCC_15	H16
A11	F18~IO_L22N_T3_A16_15	F18
B11	F16~IO_L14N_T2_SRCC_15	F16
A12	E18~IO_L21P_T3_DQS_15	E18
B12	F15~IO_L14P_T2_SRCC_15	F15
A13	D18~IO_L21N_T3_DQS_A18_15	D18
B13	E17~IO_L16P_T2_A28_15	E17
A14	G13~IO_0_15	G13
B14	D17~IO_L16N_T2_A27_15	D17
A18	F13~IO_L5P_T0_AD9P_15	F13
B18	F14~IO_L5N_T0_AD9N_15	F14
A19	E16~IO_L11N_T1_SRCC_15	E16
B19	E15~IO_L11P_T1_SRCC_15	E15
A20	C17~IO_L20N_T3_A19_15	C17
B20	C16~IO_L20P_T3_A20_15	C16
A21	A18~IO_L10N_T1_AD11N_15	A18
B21	B18~IO_L10P_T1_AD11P_15	B18
A22	C15~IO_L12N_T1_MRCC_15	C15
B22	D15~IO_L12P_T1_MRCC_15	D15
A23	B17~IO_L7N_T1_AD2N_15	B17
B23	B16~IO_L7P_T1_AD2P_15	B16
A24	C14~IO_L1N_T0_AD0N_15	C14
B24	D14~IO_L1P_T0_AD0P_15	D14
A25	D13~IO_L6N_T0_VREF_15	D13
B25	D12~IO_L6P_T0_15	D12
A26	A16~IO_L8N_T1_AD10N_15	A16
B26	A15~IO_L8P_T1_AD10P_15	A15
A27	B14~IO_L2N_T0_AD8N_15	B14
B27	B13~IO_L2P_T0_AD8P_15	B13
